Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
25,Israel,157.88,94.47,70.99,74.78,77.74,10.87,36.52,61.71,81.01
26,Slovakia,152.55,64.75,69.82,62.63,44.9,9.85,36.03,43.51,65.06
27,Poland,150.21,71.75,68.47,61.46,38.15,10.12,34.55,50.33,62.53
28,Taiwan,150.08,118.57,82.76,81.14,61.38,12.87,32.69,62.91,24.48
29,Greece,148.32,58.24,59.68,53.92,55.87,8.33,31.6,52.05,87.25
30,Japan,147.49,102.52,79.11,78.63,85.28,12.68,46.81,41.01,31.91
31,Saudi Arabia,146.41,138.05,76.35,60.41,48.37,2.85,36.31,74.18,17.96
32,South Africa,144.72,98.96,24.28,61.72,43.12,3.58,42.98,63.56,88.74
33,Romania,143.04,53.44,72.05,53.11,35.63,10.79,31.97,50.9,64.45
34,Italy,142.52,71.83,55.34,66.31,83.7,12.39,36.38,51.57,82.6
35,Argentina,139.59,58.4,37.37,73.3,52.57,12.07,37.95,53.33,90.67
36,United Arab Emirates,139.27,116.77,79.34,60.49,67.98,5.6,35.05,58.52,8.86
37,Bosnia And Herzegovina,139.14,51.29,59.03,61.49,35.05,11.35,26.63,60.69,73.29
38,Hungary,138.82,47.52,61.61,53.46,42.77,11.2,33.09,43.99,66.49
39,Bulgaria,138.2,51.4,59.82,54.03,36.49,9.07,27.92,63.12,77.05
40,Chile,136.2,61.28,52.5,60.97,50.09,10.67,35.7,67.67,89.39
41,Serbia,133.43,40.8,61.38,53.86,33.79,17.87,29.93,55.29,82.66
42,Qatar,132.37,111.28,84.3,66.14,69.2,6.19,32.97,73.29,9.26
43,Lithuania,130.28,51.67,59.97,68.74,46.73,14.19,28,34.27,25.04
44,Turkey,129.63,55.64,58.91,71.68,38.6,8.87,47.58,70.46,73.19
45,Mexico,129.06,60.08,49.68,70.11,29.81,6.94,41.66,66.74,60.74
46,Belarus,119.23,36.43,77.74,53.76,33.84,18.73,27.66,39.64,20.07
47,Jordan,117.47,42.27,56.86,71.92,59.22,7.96,47.76,85.73,88.42
48,North Macedonia,116.42,39.85,61.34,63.46,30.93,14.67,33.79,83.38,75.54
49,Colombia,115.38,37.63,48.31,65.79,34.45,19.43,43.77,63.9,81.34
50,Lebanon,106.18,53.61,50.84,64.28,61.65,13.95,36.15,85.11,69.39
51,India,101.52,76.73,56.04,69.18,25.08,10.28,46.38,76.53,9.3
52,Iran,97.17,43.18,49.1,51.55,38.26,13.5,49.7,82.51,71.48
53,Brazil,96.15,42.38,29.38,51.7,53.07,16.96,46.39,61.17,70.76
54,Hong Kong,94.45,81.45,79.32,67.99,79.96,36.15,42.22,69.9,29.73
55,Pakistan,93.41,39.95,45.62,59.05,27.18,12.09,38.69,80.08,42.54
56,Egypt,91.81,29.39,47.14,43.73,22.36,10.66,48.84,88.88,75.59
57,China,90.95,67.84,66.1,62.25,44.76,23.29,43.87,88.96,38.7
58,Sri Lanka,88.99,30.28,65.43,80.04,33.47,17.49,47.19,61.9,2.4
59,Ukraine,87.49,26.93,48.73,49.81,26.22,22.87,39.16,67.26,49.94
60,Singapore,86.5,92.7,83.42,69.87,82.41,21.63,43.39,37.04,-71.47
61,Russia,85.93,48.27,53.95,56.4,42.01,13.55,48.57,63.04,10.69
62,Indonesia,62.02,27.61,50.32,64.8,41.11,21.03,49.44,76.41,9.62
63,Thailand,57.21,34.28,50.22,80.66,43.71,24.43,43.56,73.23,-20.21
64,Philippines,56.87,36,60.23,69.16,34.71,16.91,45.14,70.25,-44.1
65,Malaysia,51.65,73.34,35.25,65.99,40.24,9.53,39.4,67.08,-79.43
66,Vietnam,36.12,24.77,47.04,47.87,40.11,26.76,33,88.1,-12.87
67,Venezuela,0,3.35,14.72,36.9,38.3,202.07,46.24,72.9,91.17
